"","GSM1679409","GSM1679410","GSM1679411","GSM1679412","GSM1679413","GSM1679414"
"MALT1",5.826901681,5.8746096605,5.828748478,5.54951424225,5.78549999475,5.5366700515
"MAMDC2",2.534596463,2.427270083,2.3716288,2.252612297,2.28589485,2.117651929
"MAMDC2-AS1",2.897098726,2.9379154005,2.761219145,2.9846652935,2.9548753935,3.0511201795
"MAMDC4",6.106306009,5.855242288,6.144103552,6.766174589,6.647300072,6.327322371
"MAML1",10.34121738,10.67743996,10.45460517,10.40821658,10.58735672,10.38528529
"MAML2",3.446649645,3.571630747,3.483990808,3.5986942905,3.6953399755,4.04690239
"MAML3",5.28066139666667,5.33196867966667,5.267251873,5.02777935066667,5.035503767,5.04349646333333
"MAMLD1",8.198049163,7.808942805,7.609256162,5.659737867,5.622078303,5.800785685
"MAMSTR",5.324020982,5.048557174,5.22781723,5.331926913,5.196887201,5.490208441
"MAN1A1",5.642341635,6.062625798,6.086007235,4.4602307195,4.7486030895,4.6107943065
"MAN1A2",6.1805915695,6.3299808495,6.28025702583333,6.18861440583333,6.42385413816667,6.3758555
"MAN1B1",7.9892016155,7.9776385055,8.0121225075,7.913369109,7.7920299215,7.8514086755
"MAN1B1-DT",8.258255154,8.152955475,7.84297099,8.091746153,8.232632764,8.255449171
"MAN1C1",5.04674507,5.3314917315,5.1600261585,4.7808056645,4.9938377005,4.8150070515
"MAN2A1",7.265801357,7.70386787733333,7.41711811166667,7.323206248,7.61200083266667,7.54032838233333
"MAN2A2",7.1459351735,7.1132096215,7.1021328475,7.2865933435,7.364445496,7.1898242455
"MAN2B1",7.475338967,7.628472145,7.679565698,7.060024739,6.912232207,6.885391395
"MAN2B2",7.831034395,7.822532679,7.760218831,7.92856584,7.862008551,8.060482412
"MAN2C1",6.89426811,6.60253246933333,6.66937820833333,6.93191376733333,7.09533548833333,6.99930732766667
"MANBA",7.432559336,7.596000973,7.24682034,7.843065572,7.857777024,8.423410253
"MANBAL",8.539176799,8.634570912,8.664011615,8.665456408,8.543001293,8.817769497
"MANEA",4.58350610375,4.915715011,4.82790382825,4.122448889,4.42667691325,4.19623987725
"MANEAL",7.459681737,7.685907006,7.771111026,7.271522731,7.151789839,7.217227634
"MANF",9.867754007,9.756017526,9.504730176,9.557254968,9.455682565,9.269680442
"MANSC1",7.803777847,8.01605226,7.724504946,8.443784829,8.631292097,8.621012833
"MAOA",7.78100583966667,7.749130898,8.08552412933333,8.50897988066667,8.29846293966667,8.695110263
"MAOB",3.996467181,3.93131531866667,3.81391227466667,3.44966063333333,3.369675912,3.60490977133333
"MAP10",2.223378538,2.576366751,2.134342415,2.234925517,2.616128356,2.356485685
"MAP1A",4.08686489233333,3.79633283533333,3.9109959,3.74094629466667,4.00441265466667,4.044753473
"MAP1B",4.429612552,4.30148490566667,4.15520493366667,3.98612239433333,3.94637481933333,4.087354527
"MAP1LC3A",6.408593436,6.302132087,6.41896791066667,6.085383228,6.08962550133333,6.054453685
"MAP1LC3B",10.190409653,10.18936503,10.38868657,10.804194245,10.89490289,10.815342635
"MAP1LC3B2",3.781571774,3.731415584,3.602936442,3.63098139,3.653092632,3.693863389
"MAP1LC3C",4.616269716,4.153037854,4.206157969,4.02396833,4.177534555,3.877963317
"MAP1S",6.177940617,6.299361833,6.126042245,6.330313666,6.159192178,6.181363947
"MAP2",4.497464489,4.66136567,4.75132252,3.7144817405,3.6201775855,3.4763071925
"MAP2K1",8.507989591,8.779113748,8.350862069,8.081969885,8.340572788,8.247767806
"MAP2K2",6.28047349133333,6.313415976,6.03620726366667,6.020911949,5.823909565,6.00563178733333
"MAP2K3",9.003472525,8.958048334,8.99834325666667,9.056990741,8.934042243,8.92232281733333
"MAP2K4",7.2559553865,7.247792399,7.276803753,7.453341243,7.4373596935,7.5374084415
"MAP2K5",5.3546698086,5.3184705928,5.3312934042,5.2175375726,5.1819447922,5.210724446
"MAP2K6",4.554219147,4.522380166,4.41213994,4.3243032405,4.235186216,4.175879338
"MAP2K7",5.663913087,5.6438765186,5.5452010206,5.8996930088,5.7070257228,5.7340096808
"MAP3K1",7.342274404,7.5000704105,7.422837072,6.607541859,6.8843242085,6.9842963445
"MAP3K10",6.588339074,6.913380294,6.727937407,7.149523491,6.939558343,7.243951858
"MAP3K11",6.319128614,6.1738517085,6.286384869,6.2486840575,6.222258548,6.3879034125
"MAP3K12",6.462927907,6.39892568933333,6.28767526866667,6.49369555933333,6.696234519,6.52749114166667
"MAP3K13",5.36232797357143,5.29214012328571,5.28912799014286,5.67858341142857,5.58198215128571,5.69353769028571
"MAP3K14",7.510485185,7.566579032,7.521488636,7.392697866,7.128222575,7.330784227
"MAP3K14-AS1",4.535167951,4.559876309,4.478559947,4.403822963,4.548656544,4.434621003
"MAP3K15",3.709292904,3.525175295,3.461099899,3.766038317,3.952582796,3.39025654
"MAP3K19",4.3650389425,4.2605119665,4.4889358035,4.419789042,4.37596551,4.47191544
"MAP3K2",5.83891099483333,5.64988415533333,5.57894150316667,5.49565441116667,5.64945432383333,5.5875846995
